"","season","episode","titles","ep_desc"
"47",3,5,"Haylias","
    Stan's plan to brainwash Hayley and get her married could have disastrous and perhaps deadly consequences for Stan, and Roger and Steve become competing private investigators.    "
"48",3,6,"The 42-Year-Old Virgin","
    Stan reveals that he has never killed anyone in the line of duty, so Stan's friends and Roger try to set him up for an easy first kill.    "
"49",3,7,"Surro-Gate","
    Francine agrees to be the surrogate mother for their gay neighbors' child. But when the child is born, Stan kidnaps her and plans to take her to Nebraska, where he can legally keep the child away from them.    "
"50",3,8,"The Most Adequate Christmas Ever","
    Stan dies while trying to get the perfect Christmas tree. After he dies, he petitions for a second chance at life, which leads to a trial where he must prove that he deserves it.    "
"51",3,9,"Frannie 911","
    Francine fakes Roger's kidnapping so that she can prove to Roger that Stan still cares about him. So why won't Stan pay his ransom?    "
"52",3,10,"Tearjerker","
    In a James Bond parody, Stan Smith plays a secret agent trying to stop a fiendish plot for world domination by Tearjerker, played by Roger the Alien.    "
"53",3,11,"Oedipal Panties","
    When Stan's mom gets dumped for the umpteenth time by a boyfriend, she comes running to Stan for support. Feeling threatened by her always-visiting mother-in-law, Francine is determined to cut StanÂ's umbilical cord and figure out what keeps going wrong with the men in her life.    "
"54",3,12,"Widowmaker","
    After one of the wives of Stan's CIA coworkers tells Francine that her husband is missing, Francine tries to persuade Stan to be more open with her. He responds by telling her that he killed the husband.    "
"55",3,13,"Red October Sky","
    An old Soviet rival from Stan's past moves in across the street and tries to turn Steve into a Communist, and Roger and Klaus vacation in Europe.    "
"56",3,14,"Office Spaceman","
    Roger gets a job at the CIA when he poses as a photographer who got pictures of an alien. Steve and Hayley discover that their mom is prejudiced against left-handed people.    "
"57",3,15,"Stanny Slickers II: The Legend of Ollie's Gold","
    Officially declared dead after an accident with a pudding truck, Stan comes back to life and realizes his sweet dream of leaving a legacy on the world.    "
"58",3,16,"Spring Break-up","
    With Francine gone to visit her parents, Roger holds a Spring Break blowout at the Smith house. During the festivities, Stan falls for a ""Spring Break Buddy"" and Steve is on the verge of losing his virginity.    "
"59",4,1,"1600 Candles","
    Stan and Francine are upset when Steve reaches puberty. However, Francine wants him to stay young, and Stan wants him to skip puberty and go straight to 21. And both of them use top-secret CIA technology to make sure it happens.    "
"60",4,2,"The One That Got Away","
    Roger discovers that one of his personas has taken on a life of his own. Back at home, the Smith family becomes addicted to the 1970s electronic game ""Simon.""    "
"61",4,3,"One Little Word","
    When Stan becomes his boss's go-to guy, he feels like he can't say no to anything including outrageous personal requests. But when Francine gets roped into the annoying ordeal and her romantic Valentine's Day get-away is ruined, she lays down the law and forces Stan to say ""NO"".    "
"62",4,4,"Choosy Wives Choose Smith","
    When Stan finds out that Francine was engaged before they met to a man who disappeared in a plane crash but is still alive, he launches an elaborate plan to find out if she would choose the other man instead of him.    "
"63",4,5,"Escape from Pearl Bailey","
    Steve gets revenge on the popular kids at his school after they smear his girlfriend who was running for class president. But he later learns that somebody else was responsible for the attacks, and the popular kids want revenge.    "
"64",4,6,"Pulling Double Booty","
    After Hayley is dumped by Jeff, she starts dating Stan's CIA body double. But when the body double starts making moves on Francine, Stan decides to break them up in his own unique way.    "
"65",4,7,"Phantom of the Telethon","
    Roger tries to sabotage Stan's CIA telethon because Stan didn't give him credit for coming up with the idea.    "
"66",4,8,"Chimdale","
    Steve has to wear a back brace because of his Scoliosis, but then finds out that Stan has been bald since college. Meanwhile, Roger, Francine, and Hayley go to a spa together even though they only have two free passes.    "
"67",4,9,"Stan Time","
    Stan takes a pill that allows him to stay awake all night and never be tired, so that he can have some personal time. But when Francine finds out, she decides to start taking the pills herself.    "
"68",4,10,"Family Affair","
    The Smiths are angry and jealous when they discover that Roger has been seeing other families behind their backs, and Klaus tries to get the family to go to a Fabulous Thunderbirds concert with him.    "
"69",4,11,"Live and Let Fry","
    Stan finds a way to get around Langley Falls' ban on trans fats, and Roger poses as Klaus to get his inheritance for him.    "
"70",4,12,"Roy Rogers McFreely","
    Stan and Roger go to war with each other after Roger is named president of the neighborhood homeowners association.    "
"71",4,13,"Jack's Back","
    Steve becomes friends with Stan's father and tries to talk Stan into helping him at his upcoming trial, while Hayley gets an internship at Roger's bar.    "
"72",4,14,"Bar Mitzvah Hustle","
    When a rival steals Steve's girlfriend, Steve tries to get revenge by launching a plot to steal his Bar Mitzvah presents.    "
"73",4,15,"Wife Insurance","
    Francine is upset when she finds out that Stan has a backup wife in place just in case she dies, so she decides to find a backup of her own; Wheels and the Legman investigate the case of Hayley's missing iPod Shuffle.    "
"74",4,16,"Delorean Story-An","
    In an attempt to bond as father and son, Steve and Stan drive to Albuquerque to purchase a door for a DeLorean Stan has been building. Meanwhile Roger Hayley and Francine try to get adventures of there own.    "
"75",4,17,"Every Which Way But Lose","
    Roger helps Steve get revenge on his father when he cuts him from the football team. But when their plan is successful, Stan doesn't take it very well.    "
"76",4,18,"Weiner of Our Discontent","
    Roger is heartbroken after he finds out that he's not ""The Decider"" and actually came to Earth as a crash test dummy, so he takes a job at a hot dog factory.    "
"77",4,19,"Daddy Queerest","
    Terry's father, a former star fullback for the Redskins, doesn't know that Terry is gay. So when he visits, Terry says he's living with Francine and that Stan is gay.    "
"78",4,20,"Stan's Night Out","
    Stan's night out of fun with the guys from the agency snowballs into a kidnapping situation, and could possibly end in murder. Meanwhile, Roger doesn't realize that he's been invited to a fraternity ""pig party.""    "
"79",5,1,"In Country... Club","
    Stan takes Steve to a Vietnam War reenactment before Steve sings the National Anthem to a veteran's group, but the experience changes Steve in ways that Stan never anticipated.    "
"80",5,2,"Moon Over Isla Island","
    Stan gets Roger to pose as a Caribbean island dictator to get a treaty signed and so that he can get a helicopter, but Roger has other plans after he figures out that Stan is using him.    "
"81",5,3,"Home Adrone","
    When Steve has the house to himself while the rest of the Smiths are away, he and his friends crash and then lose $50 million military drone that is under the care of his father.    "
"82",5,4,"Brains, Brains and Automobiles","
    When Hayley and Steve leave for their respective summers of fun, Francine looks forward to her newfound alone time with Stan. There's only one problem: Roger is still living in the attic fighting for every second of attention he can get. When Francine teaches Roger to be self-sufficient, he finally gets a place of his own. Stan fears that he will bore Francine into leaving him and cooks up a scheme to bring Roger back to the house and liven things up. Meanwhile at camp, Steve and his pals fall prey to a scheme that doesn't quite have the effect they were hoping for.    "
"83",5,5,"Man in the Moonbounce","
    Stan vows to live out all the teenage pranks he missed with Steve and his friends. But when they are caught, he winds up going to prison.    "
"84",5,6,"Shallow Vows","
    Francine lets herself go right before she and Stan renew their vows after she learns that Stan married her for her looks. Stan responds by having his retinas removed so that he doesn't have to look at her.    "
"85",5,7,"My Morning Straitjacket","
    Stan becomes obsessed with the rock band My Morning Jacket and follows them on tour.    "
"86",5,8,"G-String Circus","
    When Hayley rejects Stan's advice, he decides to start a dry-cleaning business run by a bunch of strippers. But when the business fails miserably, he is forced to become a male stripper to make some extra money.    "
"87",5,9,"Rapture's Delight","
    Stan and Francine are left behind after the Rapture, and wind up playing critical roles in Jesus Christ's war against the Antichrist.    "
"88",5,10,"Don't Look a Smith Horse in the Mouth","
    The Smiths' savings are gone, so Stan selfishly takes out a second mortgage and buys a racehorse so that he can save his SUV. Meanwhile, Steve and his friends try to help an obese shut-in to make some money.    "
"89",5,11,"A Jones for a Smith","
    Stan becomes addicted to crack, mistakenly thinking that it is cold medicine.    "
"90",5,12,"May the Best Stan Win","
    Stan gives Francine ""love coupons"" for Valentine's Day, but refuses to honor them once he becomes preoccupied with his very own CIA cyborg. Meanwhile, Roger helps Steve and his friends remake a classic '80s movie.    "
"91",5,13,"Return of the Bling","
    Stan discovers that Roger is one of his all-time heroes: a member of the 1980 U.S. Olympic Hockey Team. But when he also discovers that Roger used steroids, he turns to his other hero for advice on how to handle it.    "
"92",5,14,"Cops & Roger","
    In an attempt to prove his manhood to Stan, Roger joins the Police Academy. However it's not very long until he becomes a corrupt cop.    "
"93",5,15,"Merlot Down Dirty Shame","
    While out tasting wines, drunken Roger kisses Francine, who decides to tell Stan about the incident.    "
"94",5,16,"Bully for Steve","
    Roger studies crime scene photography while Stan bullies Steve to toughen him up.    "
"95",5,17,"An Incident at Owl Creek","
    Stan cannot escape the shame and humiliation from an embarrassing incident in the pool at a neighborhood party, until he discovers that the only person who can save him is President Obama.    "
"96",5,18,"Great Space Roaster","
    Roger feels humiliated after the Smiths roast him for his birthday, so he sets out to kill the family.    "
"97",6,1,"100 A.D.","
    When Stan learns that Hayley has run off with Jeff and plans to elope, he offers a reward to the person who can stop them.    "
"98",6,2,"Son of Stan","
    Stan has a clone of Steve created so that he can have a competition with Francine to see who can raise him better. Meanwhile, Roger travels to Thailand to find Hayley and Jeff, and to get the reward money.    "
"99",6,3,"Best Little Horror House in Langley Falls","
    Stan's plan to out-do the neighbor's fancy haunted house backfires when Roger releases the serial killers he was borrowing from the CIA. Meanwhile, Steve faces Toshi's revenge when he takes a liking to his sister Akiko.    "
"100",6,4,"Stan's Food Restaurant","
    Roger helps Stan fulfill his dream of owning a family fun restaurant, but Roger later takes over the project and fires Stan, causing him to create his own rival restaurant.    "
"101",6,5,"White Rice","
    After all of Francine's repressed memories come back to her, she decides to be a stand-up comedienne and gets her own sitcom. Meanwhile, Steve finds a female companion for Klaus, but he quickly grows tired of her.    "
"102",6,6,"There Will Be Bad Blood","
    Stan invites his half-Native American brother to his house every Thanksgiving to show off his wealth--until they visit him for Thanksgiving and discover that he's a multi-millionaire.    "
"103",6,7,"The People vs. Martin Sugar","
    Stan serves as jury foreman for the trial of one of Roger's personae, and he is hell-bent on making sure the jury finds him guilty.    "
"104",6,8,"For Whom the Sleigh Bell Tolls","
    Stan and Steve accidentally shoot and kill Santa Claus, but he is brought back to life by his elves and is hell-bent on getting revenge against the entire Smith family.    "
"105",6,9,"Fart-Break Hotel","
    Bored and disillusioned with her role as a housewife, Francine decides to take on a new identity. Meanwhile, Steve travels back in time to find a beautiful woman from a Nagel painting.    "
"106",6,10,"Stanny Boy and Frantastic","
    Stan and Francine make friends with a younger couple, but they can't keep up with their very active lifestyle. Meanwhile, Steve and Roger try to get a product refund over the telephone.    "
"107",6,11,"A Piñata Named Desire","
    With a flair for the dramatic, Roger invites Stan to attend one of his acting classes.    "
"108",6,12,"You Debt Your Life","
    When Stan and Roger disagree over a recent string of events, Roger moves out of the house in protest but is quickly replaced by another warm body. After Roger learns of the replacement roomie, the two of them battle for Stan's affection. Meanwhile, Steve gets a new job at school that allows him to do a little self-promotion over the P.A. system.    "
"109",6,13,"I Am the Walrus","
    Stan resorts to extreme and cruel measures to humiliate Steve and maintain his alpha-male status in the house, and Hayley and Jeff turn to Principal Lewis for marriage counseling.    "
"110",6,14,"School Lies","
    In an attempt to advance in the CIA, Stan begins playing golf with Senator Buckingham. Things are going well until Roger accidentally sells the senator's daughter to a drug lord, forcing Stan must choose between family and his career.    "
"111",6,15,"License to Till","
    When Steve has trouble crossing over into the ""cool kids"" social circle, Klaus and Roger place their bets to see how quickly Roger can make him cool. Everything they try backfires until Steve becomes the in-crowds designated driver. Meanwhile, Stan and Francine take turns pranking each other.    "
"112",6,16,"Jenny Fromdabloc","
    After Snot professes his love for Hayley and gets shot down, Steve and Roger devise a plan to cheer him up. Roger dresses up as Steve's cousin from New Jersey, Jenny Fromdabloc, and Snot falls hard for her. Meanwhile, Stan want to live like a gentleman of the 1960s, complete with dark suits and dry martinis.    "
"113",6,17,"Home Wrecker","
    Stan and Francine fight over how to redecorate the house. It goes so far that they split the house down the middle and try to live without each other.    "
"114",6,18,"Flirting with Disaster","
    Stan becomes upset when Francine takes the receptionist job at his CIA office.    "
"115",6,19,"Gorillas in the Mist","
    Stan spends some quality father-son time with Steve at the local zoo, but things go horribly wrong when Steve slips into a gorilla exhibit. Meanwhile, Roger bets Hayley that he can become a great Country singer and sets out to write the most heartbreaking song of all time.    "
"116",7,1,"Hot Water","
    Stan is stressed by family life so he decides to buy a hot tub for the backyard, but he becomes obsessed and when the hot tub starts singing and encourages some bad behavior they are all in trouble.    "
"117",7,2,"Hurricane!","
    When the Smiths decide to stay home during a hurricane that hits Quahog, Stoolbend and Langley Falls, they must fight tooth and nail to survive.    "
"118",7,3,"A Ward Show","
    While Stan and Francine go on vacation to a water park, Roger upsets Steven when he uses his new custody status to get principal Lewis fired.    "
"119",7,4,"The Worst Stan","
    Stan convinces principal Lewis to get married so that he will get to be the best man, but his plan hits a snag when he invites principal Lewis's old cell mate to the wedding. Meanwhile, Roger goes to Miami to show off his new shorts.    "
"120",7,5,"Virtual In-Stanity","
    Stan creates the avatar of a sexy high school girl so that he can participate more in Steve's life, and Roger gets revenge on a group of fraternity brothers who stiffed him on a limo ride.    "
"121",7,6,"The Scarlet Getter","
    Stan gets insanely jealous when Roger picks up on his old crush from CIA boot camp, and Steve discovers that he has a pair of ""lucky panties"".    "
"122",7,7,"Season's Beatings","
    Stan is excommunicated from the church, but he finds a way to get back in when he discovers that Haley and Jeff's newly adopted son is actually the Antichrist.    "
"123",7,8,"The Unbrave One","
    While Stan and Francine try to figure out if Francine is pregnant, Steve tries to become a superhero in a desperate effort to gain his dad's respect, only to have Roger steal the spotlight.    "
"124",7,9,"Stanny Tendergrass","
    Stan's efforts to teach Steve the value of hard work and earn membership to a country club backfire on him, and Francine tries to come up with the next big catchphrase.    "
"125",7,10,"Wheels & the Legman and the Case of Grandpa's Key","
    Steve and Roger try to solve a case as the fictional detectives ""Wheels and the Legman,"" but Stan threatens to ruin the whole case by joining the team as their new sidekick.    "
"126",7,11,"Old Stan in the Mountain","
    An old man puts a hex on Stan that causes him to age prematurely, while Roger deliberately misleads Francine in order to get her to go along on a strange mission.    "
"127",7,12,"The Wrestler","
    Stan is willing to go to extreme lengths to make sure that Steve's friend Barry doesn't break his consecutive wrestling wins record.    "
"128",7,13,"Dr. Klaustus","
    Klaus gets one of Roger's alter egos deployed to Iraq so that he can take over as the family therapist, but he winds up doing more harm than good.    "
"129",7,14,"Stan's Best Friend","
    Stan refuses to get Steve a pet dog, but Francine buys him one anyway. But when the dog is injured and winds up on life support, Stan is willing to go to outrageous lengths to keep it alive.    "
"130",7,15,"Less Money, Mo' Problems","
    Stan and Francine try to live a month on a minimum wage salary to prove a point to Haley and Jeff, while Roger and Steve try to get their hands on a Ferrari to get back at Klaus.    "
"131",7,16,"The Kidney Stays in the Picture","
    Stan gets caught in baby momma drama.    "
"132",7,17,"Ricky Spanish","
    Steve convinces Roger to redeem his most hated and disgusting persona, Ricky Spanish, while Stan and Francine get a visit from the Nigerian boy they once sponsored.    "
"133",7,18,"Toy Whorey","
    Stan takes Steve to Mexico for sex so that he will forget about playing with toys, but they get kidnapped instead. Meanwhile, Roger searches for the perfect wine to go with Francine's steaks.    "
"134",8,1,"Love, AD Style","
    While Jeff is away, Roger realizes that he has a crush on Haley. Meanwhile, Stan decides to sell his SUV himself instead of trading it in for lower than his asking price.    "
"135",8,2,"Killer Vacation","
    While on vacation, Bullock gives Stan an assignment, Haley and Jeff try to rekindle their dead sex life, Roger poses as an elderly female widow, and Steve goes on a mission to find nudity.    "
"136",8,3,"Can I Be Frank with You?","
    Francine poses as a male CIA agent to get into Stan's CIA men's club, and Steve and his friends become members of a 12-person boy band.    "
"137",8,4,"American Stepdad","
    Roger marries Stan's mom and becomes Stan's new stepfather, and Steve and his friends stumble upon a new ""The Fast and the Furious"" script.    "
"138",8,5,"Why Can't We Be Friends?","
    Stan puts Snot into witness protection so that he will no longer be friends with Steve, and one of Roger's alter-egos begins attacking Jeff.    "
"139",8,6,"Adventures in Hayleysitting","
    When Steve's baby sitter is unavailable, Stan and Francine decide to leave him with Hayley; Steve sneaks out to a party to prove he's not a goody-goody.    "
"140",8,7,"National Treasure 4: Baby Franny: She's Doing Well - The Hole Story","
    A talk show outs Francine as ""Baby Franny,"" the toddler who was rescued from a well by a heroic fireman; Stan and Roger think of a new business opportunity.    "
"141",8,8,"Finger Lenting Good","
    The Smith family tries to break bad habits.    "
"142",8,9,"The Adventures of Twill Ongenbone and His Boy Jabari","
    Francine regrets deciding to teach Roger the value of hard work; Steve interviews Stan for a school project    "
"143",8,10,"Blood Crieth Unto Heaven","
    A stage production version of the showing dealing with Stan's repressed childhood memories of his father abandoning the family.    "
"144",8,11,"Max Jets","
    Roger's filthy-rich persona is released from prison, but the Smiths become angry when he decides to leave his money to a gold-digger instead of them.    "
"145",8,12,"Naked to the Limit, One More Time","
    Roger reveals his true identity to Jeff, and then tells him he is his imaginary friend to keep the secret. Meanwhile, Steve takes steps to improve the shape of his rear end.    "
"146",8,13,"For Black Eyes Only","
    Secret agent Stan Smtih is assigned another high-stakes mission against Tearjerker and Black Villain.    "
"147",8,14,"Spelling Bee My Baby","
    Francine tries to ensure that Steve beats Toshi's sister Akiko in a spelling bee while Roger and Stan try to help Hayley go through the stages of grief over Jeff's departure.    "
"148",8,15,"The Missing Kink","
    Stan discovers his own kinks after discovering that Francine is aroused by spankings, while Snot shockingly gets a date with Hayley.    "
"149",8,16,"The Boring Identity","
    Francine turns Stan into the perfect husband.    "
"150",8,17,"The Full Cognitive Redaction of Avery Bullock by the Coward Stan Smith","
    Stan becomes Agent Bullock's new protege.    "
"151",8,18,"Lost in Space","
    Jeff finds himself surrounded by aliens on a ship traveling in space.    "
"152",8,19,"Da Flippity Flop","
    Klaus's human body is found, but Stan's lab ruins the body before Klaus can reclaim it. So Klaus gets revenge on Stan by switching bodies with him.    "
"153",9,1,"Steve and Snot's Test-Tubular Adventure","
    Steve and Snot create two clones so that they can have a date to a school dance, but things do not go as planned.    "
"154",9,2,"Poltergasm","
    A poltergeist visits the Smith family.    "
"155",9,3,"Buck, Wild","
    Steve is eager to prove that he's no longer a little boy, so he sets off to prove his manhood by joining Stan, Bullock, and the rest of the CIA on their annual hunting trip. Meanwhile, Roger and Klaus set off on a cross-country road trip.    "
"156",9,4,"Crotchwalkers","
    In a desperate attempt to show Steve that she's still a ""cool"" mom, Francine teaches him a vast array of shoplifting techniques to try out at the local mall. But when their attempt to pull off the ultimate heist at ""The Gash"" goes awry, Steve is captured and sent to a Venezuelan sweatshop. Meanwhile, Roger, Hayley and Klaus form Langley Falls' first Russian Balalaika trio.    "
"157",9,5,"Kung Pao Turkey","
    Stan feels like he's being run out of his own home when Francine's parents come to visit at Thanksgiving, and Francine's mother tries to setup Haley with an eligible Chinese bachelor.    "
"158",9,6,"Independent Movie","
    Steve fancies himself and the guys as stars of an independent ""coming of age"" movie as they join Snot on a cross-country trip to his dad's funeral.    "
"159",9,7,"Faking Bad","
    Hayley uses Steve's talent for creating fake IDs to start a business, but they're forced to deal with another fake ID kingpin in Langley Falls: Roger.    "
"160",9,8,"Minstrel Krampus","
    Stan and Roger travel to the North Pole to rescue Steve from an infamous Christmas demon.    "
"161",9,9,"Vision: Impossible","
    When Roger wakes up from a coma after a car accident, he has the ability to see into the future.    "
"162",9,10,"Familyland","
    The Smiths take a family vacation to a medieval-style theme park where they're taken prisoner when the frozen head of the park is accidentally thawed.    "
"163",9,11,"Cock of the Sleepwalk","
    After killing his 100th victim, Stan develops a persona that does nice things, which the real Stan would never do.    "
"164",9,12,"Introducing the Naughty Stewardesses","
    Roger switches faces with Steve to help him win over the hot girl at school, while Stan and Francine become stewardesses to stop Mark Cuban from blowing up the sun.    "
"165",9,13,"I Ain't No Holodeck Boy","
    Stan drugs Steve and his friends and puts them in the CIA holodeck just to give them the outdoor experience, while Hayley makes herself Roger's queen after buying his home star on the International Star Registry.    "
"166",9,14,"Stan Goes on the Pill","
    A new CIA drug designed to help Stan pretend to listen to Francine has a disastrous side effect, and Roger and Klaus take advantage of the situation to start their new business.    "
"167",9,15,"Honey, I'm Homeland","
    Hayley suspects that Stan has been ""turned"" when he comes home after being kidnapped by a group of radicals while on a mission to infiltrate the ""Occupy"" movement.    "
"168",9,16,"She Swill Survive","
    Stan turns Hayley into a helpless drunk in an effort to help him reach Bullock's inner circle, and Klaus shares German folk tales with Steve and Snot.    "
"169",9,17,"Rubberneckers","
    Stan gets into an accident upon discovering his talent for checking out women, while Roger and Klaus try to hide a wine stain on the new couch.    "
"170",9,18,"Permanent Record Wrecker","
    Stan is fired from the CIA due to budget cuts and is forced to work at a grocery store where Steve is the manager, while Roger makes a bargain to win a bet with a coffee shop musician.    "
"171",9,19,"News Glances with Genevieve Vavance","
    Hayley stages Steve's kidnapping in order to gain favor from Roger's new persona--a television news anchor named Genevieve Vavance.    "
