"","season","episode","titles","ratings","at_desc"
"78",5,10,"Boston",7.8,"
    Master Shake and Frylock take Meatwad to Boston to advertise him for an online auction.    "
"79",6,1,"Gene E.",7.3,"
    The trio is granted the special gift of invisibility and immediately use it to spy on women in the bathroom.    "
"80",6,2,"Shake Like Me",8.1,"
    After being bitten by a radioactive black man Shake learns what it's like to be a stereotype.    "
"81",6,3,"She Creature",8,"
    There's a monster living at the bottom of Carl's pool and the Mafia wants to take advantage of the situation.    "
"82",6,4,"Chick Magnet",7.5,"
    In an attempt to attract women the trio orders a literal ""Chick Magnet""    "
"83",6,5,"Creature from the Plaque Lagoon",6.9,"
    Shake and Meatwad try to kidnap the tooth fairy but instead end up in a world of toothlessness, plaque, and identity theft.    "
"84",6,6,"Time Machine",7.5,"
    Frylock makes a time machine that he and Shake use to compete for ruler of dimension boob.    "
"85",6,7,"2-and-a-Half-Star Wars Out of Five/Pink Man",7,"
    The trio is offered a great deal on their lawn service.    "
"86",6,8,"Fry Legs",6.6,"
    Frylock attaches mechanical legs to himself to make himself look more like a man in hopes that he would win over the affections of a beautiful computer technician.    "
"87",6,9,"Der Inflatable Fuhrer",7.4,"
    Frylock takes up some side work, and it's for the kids.    "
"88",6,10,"The Last Last One Forever and Ever",6.8,"
    The water becomes infected with fire. Shake writes a screenplay.    "
"89",7,1,"A PE Christmas",6.8,"
    The Aqua Teens are going to release a Christmas album, but first, they have to steal an identity!    "
"90",7,2,"Rabbot Redux",7.6,"
    After moving into their new crib, the Aqua Teens re-unite with some old friends.    "
"91",7,3,"Rubberman",7.7,"
    Frylock's safe sex campaign plants the seed of evil.    "
"92",7,4,"Eggball",7.6,"
    Shake leads Frylock & Meatwad to a tropical island which is inhabited by turkeys that produce ""pinball eggs"".    "
"93",7,5,"Monster",7.4,"
    Meatwad fears that there is a monster in his room whenever he sleeps, so he rents a honeymoon suite out in the city.    "
"94",7,6,"Hands on a Hamburger",7.7,"
    The Aqua Teens and Carl enter a contest of keeping your hand on a massive cheeseburger for as long as possible.    "
"95",7,7,"IAMAPOD",6.9,"
    Shake's new acquaintance has two loves in life: The band Chickenfoot, and human replication.    "
"96",7,8,"Juggalo",7.5,"
    When a vengeful angel makes him pay for his misdeeds, Shake looks to the forces of darkness for help.    "
"97",7,9,"Multiple Meat",8.1,"
    After Meatwad eventually gets split into over a hundred pieces, all still alive and well, Frylock leaves the house and then returns 27 years later.    "
"98",7,10,"Kangarilla and the Magic Tarantula",7.2,"
    Frylock is mesmerized by a game on his smartphone.    "
"99",7,11,"Larry Miller Hair System",7.7,"
    Carl is led into a van by a hair salesman, where Carl learns what kind of life he would have had if he never been bald.    "
"100",7,12,"One Hundred",7.9,"
    Shake tries to collect syndication money for completing the 100th episode. The Aqua Teens are forced to start a new series of episodes after they are threatened by the ""100"" monster.    "
"101",8,1,"Allen: Part One",6.9,"
    The Aqua Teens have re-branded themselves as the ""Aqua Unit Patrol"" and are now detectives. After a failed investigation they visit Dr. Weird's lab, where Master Shake freezes himself in a cryogenics chamber.    "
"102",8,2,"Allen: Part Two",7.5,"
    Nine years in the future Shake discovers the world is now controlled by a god-like figure named Allen who kills anyone who misbehaves in order to maintain the world as a Utopia where everyone has respect for one another.    "
"103",8,3,"Intervention",7.8,"
    In this very special episode of Aqua Unit Patrol Squad 1, Carl's drinking problem comes to an ugly head.    "
"104",8,4,"Freedom Cobra",7.4,"
    A new tattoo should bring Master Shake success with the ladies, if it doesn't bring death to everyone else.    "
"105",8,5,"Creditor",7.2,"
    Shake succumbs to predatory lending and the possibility of having his skull ripped out of his head.    "
"106",8,6,"Vampirus",7.4,"
    In a world where a vampire inducing virus has decimated mankind, the Aqua Unit Patrol Squad 1 may have stumbled upon a cure.    "
"107",8,7,"Wi-tri",7.2,"
    Frylock's new smartphone causes catastrophic levels of apathy and views of the sitcom Entourage.    "
"108",8,8,"Jumpy George",7.2,"
    Master Shake and Carl compete over a woman who has two kids.    "
"109",8,9,"Lasagna",7.4,"
    Carl is no match for Shake's irresistible quattro formaggio lasagna.    "
"110",8,10,"Last Dance for Napkin Lad",7.8,"
    It's all cloaks and daggers until somebody gets hurt, and someone will.    "
"111",9,1,"Big Bro",7.5,"
    A case of MILF fever makes Frylock mentor an at-risk youth.    "
"112",9,2,"Chicken and Beans",7.3,"
    Internet stardom goes to Meatwad's head and drives him into the darkness.    "
"113",9,3,"Shirt Herpes",7.5,"
    Wearing Carl's amazing rock-and-roll fantasy shirt comes at a heavy price.    "
"114",9,4,"Rocket Horse & Jet Chicken",7.4,"
    Meatwad shares his epic graphic novel with Shake, in hopes of getting him to write a promotional blurb for it.    "
"115",9,5,"The Granite Family",7.9,"
    After watching ""The Granite Family"" on TV, Master Shake feels like going back to the stone age to identify with the show. To achieve that, he causes a war between the United States and Russia that leads the world to chaos, thinking that can take him back to the stone age.    "
"116",9,6,"Bookie",7.4,"
    Starting from some magic tricks by Meatwad, Master Shake goes on a betting spree in which he keeps losing, while Meatwad and Carl keep winning. Bloddied and bruised, Shake can't still learn his lesson, eventually killing himself with one of his bets.    "
"117",9,7,"Fightan Titan",7.4,"
    Paul, a monster that previously appeared on the show, is seen destroying the city due to more problems with his wife. Frylock, however, has built a robot that can stop him but his main problem is getting the rest of the squad and Carl to cooperate and help him.    "
"118",9,8,"Buddy Nugget",7.4,"
    Frylock invents the ""Buddy Nugget"", a gadget that gets you friends. It works on Meatwad so he plans on making some money out of it. Master Shake's idiocy and his own ""Buddy Nugget"" friend Dr. Balthazar are his main obstacles.    "
"119",9,9,"Zucotti Manicotti",7.5,"
    Meatwad, a fan of the ""Zucotti Manicotti"" show, asks for a lot of the show's merchandise for Christmas but Frylock can only afford to give him a puppet. Master Shake uses the puppet to scare Meatwad making him think it's evil, despite Shake being obviously controlling the puppet. The real Zucotti from another planet arrives to clear the mess, but a confused Meatwad has to decide which one is the real Zucotti between the real and the puppet, and shoot and kill the fake one.    "
"120",9,10,"Totem Pole",7.1,"
    Carl and Shake attend a show from fictional Heavy Metal band Totem Pole, Carl's favorite band. The band happens to have a weird ritual on stage that involves making a human totem with a troll in which heads have to be shoved up rear ends. Carl and Shake fall victims of this ritual and of the skeletons the band accidentally raised while performing...    "
"121",10,1,"Muscles",8,"
    After a health scare lands Shake in the hospital, he decides to get into shape.    "
"122",10,2,"The Dudies",7.4,"
    Shake enlists Carl's help in training.    "
"123",10,3,"Merlo Sauvignon Blanco",7,"
    Master Shake's crippling addiction to shellfish leads to an intervention.    "
"124",10,4,"Banana Planet",7,"
    Meatwad's discovery of a mysterious banana-shaped planet calls for some last minute interplanetary exploration.    "
"125",10,5,"Working Stiffs",7.3,"
    Meatwad and Master Shake hope to score some easy money by doing the unthinkable.    "
"126",10,6,"Skins",6.8,"
    Master Shake joins a hippie drum circle.    "
"127",10,7,"Freda",7.4,"
    Master Shake finds love in a woman.    "
"128",10,8,"Storage Zeebles",8,"
    Carl buys the contents of a storage unit to make a quick buck, and he comes across an amazing discovery.    "
"129",10,9,"Piranha Germs",7.7,"
    On a very special Aqua TV Show Show, we explore the deadly potential of viral marketing.    "
"130",10,10,"Spacecadeuce",7.5,"
    The Plutonians are sent on a deadly mission by their new masters, the Mooninites.    "
"131",11,1,"Mouth Quest",7.5,"
    This very special episode of Aqua Teen is brought to you by Abraham Lincoln's Lunch Links. Now available in Tough n' Tenacious Teriyaki!    "
"132",11,2,"Brain Fairy",7.3,"
    Shake and Meatwad must investigate the DMV, after a particular driving instructor draws suspicion.    "
"133",11,3,"The Hairy Bus",7.4,"
    The ultimate party bus has bachelors screaming for medical attention.    "
"134",11,4,"Sweet C",7.4,"
    Carl takes control of a beehive after Frylock shrinks him in an attempt to figure out why the bees have stopped producing honey.    "
"135",11,5,"Knapsack!",7.5,"
    Meatwad learns how dog food seamlessly integrates into porn.    "
"136",11,6,"Rabbit, Not Rabbot",7.7,"
    Master Shake acts differently after returning from an adventure with a talking rabbit.    "
"137",11,7,"Hospice",7.8,"
    While his mother battles cancer in the fight of her life, Carl maxes out her credit cards.    "
"138",11,8,"The Last One Forever and Ever (For Real This Time) (We ... Mean It)",9.3,"
    After 15 years of animated entertainment, The Aqua Teen Hunger Force takes a bow. This is the last episode, seriously.    "
"139",11,9,"The Greatest Story Ever Told",8.6,"
    Frylock and Carl use shampoo to become immortal, while Shake becomes religious.    "
